name,url,category
BOSS ALU,https://samsonite.com.tn/fr/accueil/288-4435-boss-alu.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/110-poids-5_kg/186-volume-40_l,https://samsonite.com.tn/fr/10-business
copy of Pilot Case Pro DLX 5 - 15.6&quot;,https://samsonite.com.tn/fr/pilot-case/277-4412-pilot-case-pro-dlx-5-156.html#/11-couleur-noir/47-taille-cabine/95-poids-33_kg/310-dimension-39_x_44_x_20_cm/311-volume-22_l,https://samsonite.com.tn/fr/10-business
Pilote Case Pro-DLX 6  15.6,https://samsonite.com.tn/fr/accueil/259-4272-pilote-case-pro-dlx-6-156.html#/1-taille-s/11-couleur-noir/316-dimension-33_x_40_x_17_cm/348-poids-13_kg/367-volume-23_l,https://samsonite.com.tn/fr/10-business
Urban Groova UG12 Sac Ordinateur 15.6&quot;,https://samsonite.com.tn/fr/sac-ordinateur/164-3721-urban-groova-ug12-sac-ordinateur-156.html#/308-volume-265_l/329-poids-06_kg/415-couleur-gris_camouflage/418-dimension-44_x_285_x_24_cm,https://samsonite.com.tn/fr/10-business
Hip-Square Tablet Crossover M 7.9&quot;,https://samsonite.com.tn/fr/accessoires/124-3631-hip-square-tablet-crossover-m-79.html#/11-couleur-noir/341-dimension-25_x_215_x_75_cm/342-volume-35_l/343-poids-04_kg,https://samsonite.com.tn/fr/10-business
AT Work Sac Ordinateur 17.6,https://samsonite.com.tn/fr/sac-ordinateur/123-3630-at-work-sac-ordinateur-176.html#/323-volume-25_l/329-poids-06_kg/338-dimension-44_x_30_x_215_cm/340-couleur-gris_ombre,https://samsonite.com.tn/fr/10-business
Urban Groove UG4 Sac Ordinateur 15.6&quot;,https://samsonite.com.tn/fr/sac-ordinateur/166-3723-urban-groove-ug4-sac-ordinateur-156.html#/334-poids-05_kg/416-couleur-noir_bleu/420-dimension-47_x_32_x_23_cm/422-volume-27_l,https://samsonite.com.tn/fr/10-business
Roader Sac Ordinateur 17.3&quot;,https://samsonite.com.tn/fr/sac-ordinateur/119-3626-roader-sac-ordinateur-173.html#/11-couleur-noir/47-taille-cabine/330-volume-215_l/331-dimension-55_x_39_x_22_cm/332-poids-226_kg,https://samsonite.com.tn/fr/10-business
Guardit Classy 15.6,https://samsonite.com.tn/fr/sac-ordinateur/118-3625-guardit-classy-156.html#/11-couleur-noir/325-dimension-44_x_30_x_20_cm/327-poids-077_kg/330-volume-215_l,https://samsonite.com.tn/fr/10-business
AT Work Sac Ordinateur 15.6&quot;,https://samsonite.com.tn/fr/sac-ordinateur/117-3624-at-work-sac-ordinateur-156.html#/11-couleur-noir/323-volume-25_l/328-dimension-45_x_33_x_215_cm/329-poids-06_kg,https://samsonite.com.tn/fr/10-business
AT Work Sac Ordinateur 15.6&quot;,https://samsonite.com.tn/fr/sac-ordinateur/116-3623-at-work-sac-ordinateur-156.html#/11-couleur-noir/323-volume-25_l/328-dimension-45_x_33_x_215_cm/329-poids-06_kg,https://samsonite.com.tn/fr/10-business
Guardit 2.0 - 15.6&quot;,https://samsonite.com.tn/fr/accueil/115-3622-guardit-20-156.html#/11-couleur-noir/325-dimension-44_x_30_x_20_cm/326-volume-225_l/327-poids-077_kg,https://samsonite.com.tn/fr/10-business
AT Work Sac Ordinateur 15.6&quot;,https://samsonite.com.tn/fr/sac-ordinateur/114-3621-at-work-sac-ordinateur-156.html#/5-couleur-gris/322-dimension-495_x_32_x_21_cm/323-volume-25_l/324-poids-07_kg,https://samsonite.com.tn/fr/10-business
Pilot Case Pro DLX 5 - 15.6&quot;,https://samsonite.com.tn/fr/pilot-case/106-3606-pilot-case-pro-dlx-5-156.html#/11-couleur-noir/47-taille-cabine/95-poids-33_kg/310-dimension-39_x_44_x_20_cm/311-volume-22_l,https://samsonite.com.tn/fr/10-business
PRO DLX 5 SPINNER 55CM PRO,https://samsonite.com.tn/fr/accueil/199-3916-pro-dlx-5-spinner-55cm-pro.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm,https://samsonite.com.tn/fr/10-business
Urbnation Laptop Exp - Fuchsia,https://samsonite.com.tn/fr/sac-ordinateur/103-3603-urbnation-laptop-exp-fuchsia.html#/172-couleur-violet/304-poids-054_kg/305-dimension-396_x_27_x_4_cm/306-volume-85_11_l,https://samsonite.com.tn/fr/10-business
Pilot Case PRO DLX 5 - 17.3&quot;,https://samsonite.com.tn/fr/accueil/27-2445-pilot-case-pro-dlx-5-156.html#/11-couleur-noir/48-dimension-33_x_46_x_20cm/49-dimension_extensible-33_x_46_x_25cm/50-volume-295_37_l/51-poids-28_kg,https://samsonite.com.tn/fr/10-business
DASHPOP DISNEY,https://samsonite.com.tn/fr/accueil/290-4459-dashpop-disney-.html#/19-dimension-55_x_40_x_20cm/32-poids-25_kg/47-taille-cabine/179-dimension_extensible-55_x_40_x_23_cm/433-volume-41_47/451-couleur-minnie_pop_letters,https://samsonite.com.tn/fr/13-valises
BIZ2GO TRVL SPINNER,https://samsonite.com.tn/fr/accueil/273-4390-biz2go-trvl-spinner.html#/3-taille-l/11-couleur-noir/79-poids-37_kg/428-volume-108_118_l/436-dimension-774829/437-dimension_extensible-774832,https://samsonite.com.tn/fr/13-valises
URBIFY SPINNER,https://samsonite.com.tn/fr/accueil/272-4377-urbify-spinner.html#/1-taille-s/11-couleur-noir/63-poids-23_kg/72-volume-39_l/111-dimension-55_x_40_x_23_cm,https://samsonite.com.tn/fr/13-valises
SUMMER HIT SPINER,https://samsonite.com.tn/fr/accueil/269-4311-summer-hit-spiner.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/27-volume-38_l/32-poids-25_kg,https://samsonite.com.tn/fr/13-valises
HIGH TURN SPINNER,https://samsonite.com.tn/fr/accueil/263-4285-high-turn-spinner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/45-poids-27_kg/186-volume-40_l/296-couleur-matt_sage_khaki,https://samsonite.com.tn/fr/13-valises
DEEP DIVE SPINER,https://samsonite.com.tn/fr/accueil/261-4281-deep-dive-spiner.html#/1-taille-s/19-dimension-55_x_40_x_20cm/27-volume-38_l/32-poids-25_kg/126-couleur-teal,https://samsonite.com.tn/fr/13-valises
Set de 3 valises HYPERSPEED,https://samsonite.com.tn/fr/accueil/257-set-de-3-valises-hyperspeed.html,https://samsonite.com.tn/fr/13-valises
