product_id,feature_name,feature_value
288,Modèle,Valise 4 roues
288,Matière,Autres Matériaux
288,Serreur,Serreur à combinaison TSA
288,Fermetures à glissière,Oui
288,Poignée de traction,Double tube
288,Roulettes,4 roulettes
288,Types des roues,Roulettes silencieuses pour un plus grand confort
288,Porte-adresse,Porte-adresse intégré rétractable
288,Logo,A l'avant
277,Spécification,:
277,Garantie,Garantie mondiale limitée 5 ans
277,Modèle,Pilot Case
277,Couleur,Noir
277,Matière,Nylon balistique
277,Dimension,39 x 44 x 20 cm
277,Taille,Taille cabine
277,Volume,22 L
277,Poids,3.3 Kg
277,Extérieur,:
277,Catégorie,Souple
277,Serreur,Oui
277,Fermetures à glissière,Oui
277,Poignées,Poignée(s) haute(s) & poignée(s) de portage
277,Poignée de traction,Double tube
277,Roulettes,4 roulettes
277,Types des roues, Roulettes silencieuses & multidirectionnelles
277,Poches extérieures,3 poches extérieures
277,Porte-adresse,étiquette d'identification rétractable 
277,Intérieur,:
277,Compartiment ordinateur,Oui
277,Dimensions écran,"15.6"""
277,Poche pour tablette,Oui
277,Dimension tablette,"10"""
277,Compartiment pour documents,Oui
277,Porte-clés,Porte clé fourni
277,Poches,4 poches intérieure et plus
277,Poches,1 poche téléphone portable / PDA
277,Système Easy Pass,"Le système Easy Pass permet de faire passer des câbles dans les différents compartiments du sac, gardant les appareils électroniques chargés sans avoir à les sortir."
277,Compartiment Power Bank,Oui
277,Poche pour câbles,Oui
277,Compartiment,2 compartiments
277,Renforts de protection,Oui
259,Modèle,Pilot Case
259,Couleur,Noir
259,Matière,Nylon balistique
259,Taille,Taille cabine
259,Catégorie,Souple
259,Poignées, Poignée(s) haute(s)
259,Roulettes,4 roulettes
164,Spécification,:
164,Garantie,Garantie mondiale limitée de 2 ans
164,Modèle,Sac Ordinateur
164,Matière,100% Polyester
164,Dimension,44 x 28.5 x 24 cm
164,Volume,26.5 L
164,Poids,0.6 Kg
164,Extérieur,:
164,Poignées, Poignée(s) haute(s)
164,Poches extérieures,1 poche frontale
164,Bretelles,Bandoulières ergonomiques
164,Porte-bouteille,Oui
164,Intérieur,:
164,Compartiment principal,Oui
164,Compartiment ordinateur,Oui
164,Dimensions écran,"15.6"""
124,Spécification,:
124,Garantie,Garantie mondiale limitée de 2 ans
124,Modèle,Sacs porté croisé
124,Couleur,Noir
124,Matière,Nylon et Polyuréthane
124,Dimension,25 x 21.5 x 7.5 cm
124,Taille tablette max,13.5 x 21.6 x 1.4 cm (⌀ 20.3 cm)
124,Volume,3.5 L
124,Poids,0.4 Kg
124,Extérieur,:
124,Catégorie,Souple
124,Fermetures à glissière,Oui
124,Poches extérieures,1 poche frontale
124,Bandoulière,Ajustable
124,Logo,A l'avant
124,Intérieur,:
124,Compartiment principal,Compartiment principal avec poche intérieure
124,Poche pour tablette,Oui
124,Dimension tablette,"7.9"""
124,Organisation intérieur,Oui
123,Spécification,:
123,Garantie,Garantie mondiale limitée de 2 ans
123,Modèle,Sac à dos pour ordinateur
123,Couleur,Gris
123,Matière,100% Polyester
123,Dimension,44 x 30 x 21.5 cm
123,Volume,34 L
123,Poids,0.6 Kg
123,Extérieur,:
123,Catégorie,Souple
123,Fermetures à glissière,Oui
123,Poignées, Poignée(s) haute(s)
123,Poches extérieures,2 poches frontales
123,Passant arrière pour bagage,Oui
123,Bretelles,Bandoulières ergonomiques
123,Sangle de Poitrine,Oui
123,Manches intelligentes,Oui
123,Intérieur,:
123,Compartiment principal,Oui
123,Compartiment ordinateur,Oui
123,Dimensions écran,"15.6"""
123,Poche pour tablette,Oui
123,Dimension tablette,"10.5"""
123,Organisation intérieur,Oui
123,Compartiment frontal,Oui
166,Spécification,:
166,Garantie,Garantie mondiale limitée de 2 ans
166,Modèle,Sac Ordinateur
166,Matière,100% Polyester
166,Dimension,47 x 32 x 23 cm
166,Taille ordinateur max,37.5 x 26 x 3.5 cm (⌀ 39.6 cm)
166,Volume,27 L
166,Poids,0.5 Kg
166,Extérieur,:
166,Catégorie,Souple
166,Fermetures à glissière, Fermetures à glissière standard
166,Poignées, Poignée(s) haute(s)
166,Poches extérieures, 1 poche frontale & 1 poche latérale
166,Bretelles,Bandoulières ergonomiques
