product_id,group,value
288,Taille,S
288,Couleur,Noir
288,Dimension,55 x 40 x 20cm
288,Poids,5 Kg
288,Volume,40 L
277,Couleur,Noir
277,Taille,Cabine
277,Poids,3.3 Kg
277,Dimension,39 x 44 x 20 cm
277,Volume,22 L
259,Taille,S
259,Couleur,Noir
259,Dimension,33 x 40 x 17 cm
259,Poids,1.3 Kg
259,Volume,23 L
164,Volume,26.5 L
164,Poids,0.6 Kg
164,Couleur,Gris camouflage
164,Dimension,44 x 28.5 x 24 cm
124,Couleur,Noir
124,Dimension,25 x 21.5 x 7.5 cm
124,Volume,3.5 L
124,Poids,0.4 Kg
123,Volume,25 L
123,Poids,0.6 Kg
123,Dimension,44 x 30 x 21.5 cm
123,Couleur,Gris ombre
166,Poids,0.5 Kg
166,Couleur,Noir/Bleu
166,Dimension,47 x 32 x 23 cm
166,Volume,27 L
119,Couleur,Noir
119,Taille,Cabine
119,Volume,21.5 L
119,Dimension,55 x 39 x 22 cm
119,Poids,2.26 Kg
118,Couleur,Noir
118,Dimension,44 x 30 x 20 cm
118,Poids,0.77 Kg
118,Volume,21.5 L
117,Couleur,Noir
117,Volume,25 L
117,Dimension,45 x 33 x 21.5 cm
117,Poids,0.6 Kg
116,Couleur,Noir
116,Volume,25 L
116,Dimension,45 x 33 x 21.5 cm
116,Poids,0.6 Kg
115,Couleur,Noir
115,Dimension,44 x 30 x 20 cm
115,Volume,22.5 L
115,Poids,0.77 Kg
114,Couleur,Gris
114,Dimension,49.5 x 32 x 21 cm
114,Volume,25 L
114,Poids,0.7 Kg
106,Couleur,Noir
106,Taille,Cabine
106,Poids,3.3 Kg
106,Dimension,39 x 44 x 20 cm
106,Volume,22 L
199,Taille,S
199,Couleur,Noir
199,Dimension,55 x 40 x 20cm
103,Couleur,Violet
103,Poids,0.54 Kg
103,Dimension,39.6 x 27 x 4 cm
103,Volume,8.5/11 L
27,Couleur,Noir
27,Dimension,33 x 46 x 20cm
27,Dimension Extensible, 33 x 46 x 25cm
27,Volume,29.5/37 L
27,Poids,2.8 kg
290,Dimension,55 x 40 x 20cm
290,Poids,2.5 Kg
290,Taille,Cabine
290,Dimension Extensible,55 x 40 x 23 cm
290,Volume,41/47
290,Couleur, Minnie Pop Letters
273,Taille,L
273,Couleur,Noir
273,Poids,3.7 Kg
273,Volume,108 / 118 L
273,Dimension,77*48*29
273,Dimension Extensible,77*48*32
272,Taille,S
272,Couleur,Noir
272,Poids,2.3 Kg
272,Volume,39 L
272,Dimension,55 x 40 x 23 cm
269,Taille,S
269,Couleur,Noir
269,Dimension,55 x 40 x 20cm
269,Volume,38 L
269,Poids,2.5 Kg
263,Taille,S
263,Dimension,55 x 40 x 20cm
263,Poids,2.7 kg
263,Volume,40 L
263,Couleur,Matt Sage Khaki
261,Taille,S
261,Dimension,55 x 40 x 20cm
261,Volume,38 L
261,Poids,2.5 Kg
261,Couleur,Teal
245,Taille,S
245,Couleur,Rose
245,Poids,2 kg
245,Volume,39 L
245,Dimension,55 x 40 x 22 cm
243,Taille,S
243,Dimension,55 x 40 x 20cm
243,Volume,36 L
243,Poids,3 kg
243,Couleur,Graphite
231,Taille,S
231,Dimension,55 x 40 x 20cm
231,Poids,2 kg
231,Couleur,Bleu royal
231,Volume,40 L
230,Taille,S
230,Couleur,Noir
230,Dimension,55 x 40 x 20cm
230,Poids,2.5 Kg
230,Dimension Extensible,55 x 40 x 25 cm
230,Volume,38 / 43.5 L
190,Taille,L
190,Couleur,Gris
190,Dimension,79 x 47 x 31 cm
189,Taille,S
189,Dimension,55 x 40 x 20cm
189,Couleur,Bleu Ciel
171,Taille,S
171,Couleur,Noir
171,Dimension,55 x 40 x 20cm
171,Volume,38 L
171,Poids,2.5 Kg
158,Taille,S
158,Volume,63 L
158,Dimension,55 x 35 x 21 cm
158,Poids,2.19 Kg
158,Couleur,Bordeaux
283,Taille,S
283,Couleur,Noir
283,Dimension,55 x 40 x 20cm
283,Poids,2.4 Kg
283,Volume,37 L
271,Taille,S
271,Couleur,Jaune
271,Dimension,55 x 40 x 20cm
271,Poids,2.5 Kg
271,Dimension Extensible,55 x 40 x 23 cm
271,Volume,43 / 46 L
101,Taille,S
101,Dimension,55 x 40 x 20cm
101,Poids,2.5 Kg
101,Dimension Extensible,55 x 40 x 23 cm
101,Volume,38/42 L
101,Couleur,Matt Graphite
99,Taille,S
99,Dimension,55 x 40 x 20cm
99,Volume,36 L
99,Poids,2.6 Kg
99,Couleur,Donald Blue Kiss
247,Taille,S
247,Dimension,55 x 40 x 20cm
247,Poids,2 kg
247,Volume,36 L
247,Couleur,Bleu 
97,Taille,S
97,Poids,1.7 Kg
97,Couleur,Mickey & Donald
97,Dimension,46.5 x 33 x 22.5 cm
97,Volume,20.5 L
229,Taille,S
229,Couleur,Jaune
229,Dimension,55 x 40 x 20cm
229,Volume,36 / 41 L
229,Dimension Extensible,55 x 40 x 23 cm
96,Taille,S
96,Poids,2.3 Kg
96,Couleur,Donald Stars
96,Dimension,51 x 37 x 22 cm
96,Volume,28 L
223,Taille,S
223,Couleur,Noir
223,Dimension,55 x 40 x 20cm
223,Dimension Extensible,55 x 40 x 23 cm
223,Volume,38/44 L
95,Taille,S
95,Couleur,Bleu 
95,Dimension,55 x 35 x 22 cm
95,Dimension Extensible,55 x 35 x 25 cm
95,Volume,38 / 43.5 L
95,Poids,1.8 Kg
220,Taille,XL
220,Dimension,81 x 55 x 34cm
220,Poids,3.4 kg
220,Couleur,Black/Gold Deluscious 
93,Taille,S
93,Dimension,55 x 40 x 20cm
93,Poids,2.2 Kg
93,Dimension Extensible,55 x 40 x 23 cm
93,Volume,38/44 L
93,Couleur,Bleu Pétrole
218,Taille,L
218,Couleur,Vert
218,Dimension,75 x 51 x 32cm
218,Poids,4.3 Kg
218,Volume,108 L
194,Taille,S
194,Couleur,Jaune
194,Dimension,55 x 40 x 20cm
37,Taille,M
37,Couleur,Noir
37,Volume,68 L
37,Poids,3.4 kg
37,Dimension,69 x 45 x 29 cm
38,Taille,M
38,Couleur,Bleu
38,Dimension,69 x 48 x 30cm
38,Dimension Extensible,69 x 45 x 31 cm
44,Taille,S
44,Couleur,Bleu
44,Volume,35L
44,Poids,2.9 Kg
44,Dimension,55 x 40 x 22 cm
285,Taille,S
285,Couleur,Noir
285,Dimension,55 x 40 x 20cm
285,Poids,2.3 Kg
285,Volume,43 L
49,Taille,M
49,Couleur,Rouge
49,Volume,68 L
49,Poids,2.9 Kg
49,Dimension,66 x 44 x 28 cm
50,Taille,M
50,Couleur,Noir
50,Volume,82 L
50,Poids,3 kg
50,Dimension,67 x 44 x 27 cm
204,Taille,S
204,Couleur,Noir
204,Dimension,55 x 40 x 20cm
52,Taille,S
52,Couleur,Rouge
52,Poids,2.9 Kg
52,Dimension,55 x 40 x 22 cm
52,Volume,34 L
192,Taille,S
192,Dimension,55 x 40 x 20cm
192,Couleur,Rose Bébé
71,Taille,S
71,Couleur,Noir
71,Dimension,55 x 40 x 20cm
71,Volume,36 L
71,Poids,2.6 Kg
70,Taille,M
70,Volume,70 L
70,Poids,2.4 Kg
70,Couleur,Sunset
70,Dimension,68 x 42.5 x 29 cm
69,Taille,S
69,Couleur,Noir
69,Dimension,55 x 40 x 20cm
69,Poids,2.5 Kg
69,Volume,40 L
65,Taille,M
65,Couleur,Rose
65,Poids,3.2 Kg
65,Dimension,66 x 45 x 27 cm
65,Volume,63 L
64,Taille,S
64,Dimension,55 x 40 x 20cm
64,Volume,36 L
64,Poids,2.6 Kg
64,Couleur,Bleu Céleste
63,Taille,S
63,Poids,2.6 Kg
63,Dimension,55 x 40 x 22 cm
63,Volume,41 L
63,Couleur,Violet
59,Taille,S
59,Dimension,55 x 40 x 20cm
59,Volume,36 L
59,Poids,2.6 Kg
59,Couleur,Star Wars
55,Taille,S
55,Couleur,Noir
55,Dimension,55 x 40 x 20cm
55,Poids,2 kg
55,Volume,33.5 L
30,Taille,M
30,Couleur,Gris
30,Dimension,69 x 46 x 29cm
30,Volume,68 L
30,Poids,2.3 Kg
25,Taille,S
25,Couleur,Bleu
25,Dimension,55 x 40 x 20cm
25,Volume,38 L
25,Poids,2.5 Kg
26,Taille,S
26,Couleur,Bleu
26,Dimension,55 x 35 x 20cm
26,Volume,35L
26,Poids,2 kg
268,Taille,S
268,Couleur,Noir
268,Poids,1.6 Kg
268,Dimension,31 x 26 x 18 cm
268,Volume,20 L
159,Taille,XL
159,Couleur,Noir
159,Dimension,81cm + 86cm
113,Couleur,Ebony Brown
113,Poids,0.1 Kg
113,Dimension, 10.6 x 9.5 x 1 cm
112,Couleur,Noir
