name,description,category,sku,brand,price,currency,availability,url
BOSS ALU,"La collaboration entre BOSS et Samsonite a vu le jour grâce à notre dévouement commun à produire des produits de haute qualité et soigneusement conçus. Les deux marques se concentrent sur la création d’expériences durables, dédiées à vous. Cette combinaison de valeurs partagées se traduit par une collaboration unique qui rayonne d’une passion pour la qualité supérieure, l’innovation et le design intemporel.",Accueil,288,Samsonite,4900,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/288-4435-boss-alu.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm/110-poids-5_kg/186-volume-40_l
copy of Pilot Case Pro DLX 5 - 15.6&quot;,Pilot case Samsonite Pro DLX 5 pour pc 15.6&quot; à 4 roues.,Pilot Case,277,Samsonite,1540,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/pilot-case/277-4412-pilot-case-pro-dlx-5-156.html#/11-couleur-noir/47-taille-cabine/95-poids-33_kg/310-dimension-39_x_44_x_20_cm/311-volume-22_l
Pilote Case Pro-DLX 6  15.6,Pilote Case ,Accueil,228710,Samsonite,2450,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/259-4272-pilote-case-pro-dlx-6-156.html#/1-taille-s/11-couleur-noir/316-dimension-33_x_40_x_17_cm/348-poids-13_kg/367-volume-23_l
Urban Groova UG12 Sac Ordinateur 15.6&quot;,Sac à dos Urban Groove UG12 pour ordinateur 15.6&quot; by American Tourister.,Sac Ordinateur,164,American Tourister,250,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-ordinateur/164-3721-urban-groova-ug12-sac-ordinateur-156.html#/308-volume-265_l/329-poids-06_kg/415-couleur-gris_camouflage/418-dimension-44_x_285_x_24_cm
Hip-Square Tablet Crossover M 7.9&quot;,"Samsonite Bandoulière Hip Square Crossover, Sacs à bandoulière.",Accessoires,124,Samsonite,430,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accessoires/124-3631-hip-square-tablet-crossover-m-79.html#/11-couleur-noir/341-dimension-25_x_215_x_75_cm/342-volume-35_l/343-poids-04_kg
AT Work Sac Ordinateur 17.6,Sac ordinateur 15.6&quot; American Tourister.,Sac Ordinateur,123,American Tourister,370,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-ordinateur/123-3630-at-work-sac-ordinateur-176.html#/323-volume-25_l/329-poids-06_kg/338-dimension-44_x_30_x_215_cm/340-couleur-gris_ombre
Urban Groove UG4 Sac Ordinateur 15.6&quot;,Sac à dos Urban Groove UG4 pour ordinateur 15.6&quot; by American Tourister.,Sac Ordinateur,166,American Tourister,250,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-ordinateur/166-3723-urban-groove-ug4-sac-ordinateur-156.html#/334-poids-05_kg/416-couleur-noir_bleu/420-dimension-47_x_32_x_23_cm/422-volume-27_l
Roader Sac Ordinateur 17.3&quot;,Sac à 2 roues Roader pour ordinateur 17.3&quot; Samsonite.,Sac Ordinateur,163943,Samsonite,940,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-ordinateur/119-3626-roader-sac-ordinateur-173.html#/11-couleur-noir/47-taille-cabine/330-volume-215_l/331-dimension-55_x_39_x_22_cm/332-poids-226_kg
Guardit Classy 15.6,Sac ordinateur Samsonite Guardit Classy 15.6&quot;,Sac Ordinateur,118,Samsonite,565,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-ordinateur/118-3625-guardit-classy-156.html#/11-couleur-noir/325-dimension-44_x_30_x_20_cm/327-poids-077_kg/330-volume-215_l
AT Work Sac Ordinateur 15.6&quot;,Sac ordinateur American Tourister AT Work 15.6&quot;,Sac Ordinateur,117,American Tourister,330,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-ordinateur/117-3624-at-work-sac-ordinateur-156.html#/11-couleur-noir/323-volume-25_l/328-dimension-45_x_33_x_215_cm/329-poids-06_kg
AT Work Sac Ordinateur 15.6&quot;,AT Work sac ordinateur American Tourister 15.6&quot;,Sac Ordinateur,116,American Tourister,350,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-ordinateur/116-3623-at-work-sac-ordinateur-156.html#/11-couleur-noir/323-volume-25_l/328-dimension-45_x_33_x_215_cm/329-poids-06_kg
Guardit 2.0 - 15.6&quot;,Sac à dos Samsonite pour ordinateur 15.6&quot;,Accueil,115,Samsonite,505,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/115-3622-guardit-20-156.html#/11-couleur-noir/325-dimension-44_x_30_x_20_cm/326-volume-225_l/327-poids-077_kg
AT Work Sac Ordinateur 15.6&quot;,Sac à dos American Tourister pour ordinateur 15.6&quot;,Sac Ordinateur,114,American Tourister,265,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-ordinateur/114-3621-at-work-sac-ordinateur-156.html#/5-couleur-gris/322-dimension-495_x_32_x_21_cm/323-volume-25_l/324-poids-07_kg
Pilot Case Pro DLX 5 - 15.6&quot;,Pilot case Samsonite Pro DLX 5 pour pc 15.6&quot; à 4 roues.,Pilot Case,106,Samsonite,1540,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/pilot-case/106-3606-pilot-case-pro-dlx-5-156.html#/11-couleur-noir/47-taille-cabine/95-poids-33_kg/310-dimension-39_x_44_x_20_cm/311-volume-22_l
PRO DLX 5 SPINNER 55CM PRO,,Accueil,199,Samsonite,2250,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/199-3916-pro-dlx-5-spinner-55cm-pro.html#/1-taille-s/11-couleur-noir/19-dimension-55_x_40_x_20cm
Urbnation Laptop Exp - Fuchsia,Sac ordinateur Samsonite en Polyester 15.6&quot;,Sac Ordinateur,103,Samsonite,100,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-ordinateur/103-3603-urbnation-laptop-exp-fuchsia.html#/172-couleur-violet/304-poids-054_kg/305-dimension-396_x_27_x_4_cm/306-volume-85_11_l
Pilot Case PRO DLX 5 - 17.3&quot;,Bureau mobile 17.3&quot; 33 x 46 x 20/25 cm | 2.8 kg,Accueil,851643,Samsonite,2250,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/27-2445-pilot-case-pro-dlx-5-156.html#/11-couleur-noir/48-dimension-33_x_46_x_20cm/49-dimension_extensible-33_x_46_x_25cm/50-volume-295_37_l/51-poids-28_kg
DASHPOP DISNEY,Valise rigide,Accueil,290,American Tourister,890,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/accueil/290-4459-dashpop-disney-.html#/19-dimension-55_x_40_x_20cm/32-poids-25_kg/47-taille-cabine/179-dimension_extensible-55_x_40_x_23_cm/433-volume-41_47/451-couleur-minnie_pop_letters
